ticker_ishares,place,ticker,nom_yahoo,statut
AC,Nyse Euronext - Euronext Paris,AC.PA,Accor SA,vérifié
IMI,London Stock Exchange,IMI.L,IMI plc,vérifié
BEZ,London Stock Exchange,BEZ.L,Beazley plc,vérifié
ORNBV,Nasdaq Omx Helsinki Ltd.,ORNBV.HE,Orion Oyj,vérifié
SDLF,London Stock Exchange,SDLF.L,Standard Life plc,vérifié
LISP,SIX Swiss Exchange,LISP.SW,Chocoladefabriken Lindt & Sprüngli AG,vérifié
SVT,London Stock Exchange,SVT.L,Severn Trent PLC,vérifié
STLAM,Borsa Italiana,STLAM.MI,Stellantis N.V.,vérifié
MNG,London Stock Exchange,MNG.L,M&G plc,vérifié
PSON,London Stock Exchange,PSON.L,Pearson plc,vérifié
RBI,Wiener Boerse Ag,RBI.VI,Raiffeisen Bank International AG,vérifié
GALP,Nyse Euronext - Euronext Lisbon,GALP.LS,"Galp Energia, SGPS, S.A.",vérifié
MKS,London Stock Exchange,MKS.L,Marks and Spencer Group plc,vérifié
ERF,Nyse Euronext - Euronext Paris,ERF.PA,Eurofins Scientific SE,vérifié
ORSTED,Omx Nordic Exchange Copenhagen A/S,ORSTED.CO,Ørsted A/S,vérifié
COLO B,Omx Nordic Exchange Copenhagen A/S,COLO-B.CO,Coloplast A/S,vérifié
CNA,London Stock Exchange,CNA.L,Centrica plc,vérifié
INDU C,Nasdaq Omx Nordic,INDU-C.ST,AB Industrivärden (publ),vérifié
TEL2 B,Nasdaq Omx Nordic,TEL2-B.ST,Tele2 AB (publ),vérifié
MICC,Euronext Amsterdam,MICC.AS,The Magnum Ice Cream Company N.V.,vérifié
WEIR,London Stock Exchange,WEIR.L,Weir PLC,vérifié
TEL,Oslo Bors Asa,TEL.OL,Telenor ASA,vérifié
WISE,London Stock Exchange,WISE.L,Wise Group plc,vérifié
LI,Nyse Euronext - Euronext Paris,LI.PA,Klépierre SA,vérifié
GTT,Nyse Euronext - Euronext Paris,GTT.PA,Gaztransport & Technigaz SA,vérifié
MOWI,Oslo Bors Asa,MOWI.OL,Mowi ASA,vérifié
SKA B,Nasdaq Omx Nordic,SKA-B.ST,Skanska AB (publ),vérifié
RXL,Nyse Euronext - Euronext Paris,RXL.PA,Rexel S.A.,vérifié
SKF B,Nasdaq Omx Nordic,SKF-B.ST,AB SKF (publ),vérifié
BEAN,SIX Swiss Exchange,BEAN.SW,BELIMO Holding AG,vérifié
CON,Xetra,CON.DE,Continental Aktiengesellschaft,vérifié
TREL B,Nasdaq Omx Nordic,TREL-B.ST,Trelleborg AB (publ),vérifié
FME,Xetra,FME.DE,Fresenius Medical Care AG,vérifié
PNDORA,Omx Nordic Exchange Copenhagen A/S,PNDORA.CO,Pandora A/S,vérifié
HEIO,Euronext Amsterdam,HEIO.AS,Heineken Holding N.V.,vérifié
TEN,Borsa Italiana,TEN.MI,Tenaris S.A.,vérifié
STB,Oslo Bors Asa,STB.OL,Storebrand ASA,vérifié
HSX,London Stock Exchange,HSX.L,Hiscox Ltd,vérifié
QIA,Deutsche Börse AG,QIA.DE,Qiagen N.V.,vérifié
SPIE,Nyse Euronext - Euronext Paris,SPIE.PA,SPIE SA,vérifié
BNR,Xetra,BNR.DE,Brenntag SE,vérifié
TLX,Xetra,TLX.DE,Talanx AG,vérifié
ACLN,SIX Swiss Exchange,ACLN.SW,Accelleron Industries AG,vérifié
ADDT B,Nasdaq Omx Nordic,ADDT-B.ST,Addtech AB (publ.),vérifié
TKA,Xetra,TKA.DE,thyssenkrupp AG,vérifié
FRO,Oslo Bors Asa,FRO.OL,Frontline plc,vérifié
EBP,Warsaw Stock Exchange/Equities/Main Market,EBP.WA,Erste Bank Polska S.A.,vérifié
EXO,Euronext Amsterdam,EXO.AS,Exor N.V.,vérifié
DHER,Xetra,DHER.DE,Delivery Hero SE,vérifié
EDEN,Nyse Euronext - Euronext Paris,EDEN.PA,Edenred SE,vérifié
SDR,London Stock Exchange,SDR.L,Schroders plc,vérifié
PSPN,SIX Swiss Exchange,PSPN.SW,PSP Swiss Property AG,vérifié
HOT,Xetra,HOT.DE,HOCHTIEF Aktiengesellschaft,vérifié
LTMC,Borsa Italiana,LTMC.MI,Lottomatica Group S.p.A.,vérifié
HM B,Nasdaq Omx Nordic,HM-B.ST,H & M Hennes & Mauritz AB (publ),vérifié
YAR,Oslo Bors Asa,YAR.OL,Yara International ASA,vérifié
SBRY,London Stock Exchange,SBRY.L,J Sainsbury plc,vérifié
MRO,London Stock Exchange,MRO.L,Melrose Industries PLC,vérifié
GAW,London Stock Exchange,GAW.L,Games Workshop Group PLC,vérifié
NKT,Omx Nordic Exchange Copenhagen A/S,NKT.CO,NKT A/S,vérifié
SECU B,Nasdaq Omx Nordic,SECU-B.ST,Securitas AB (publ),vérifié
BEI,Xetra,BEI.DE,Beiersdorf Aktiengesellschaft,vérifié
SUBC,Oslo Bors Asa,SUBC.OL,Subsea 7 S.A.,vérifié
KBX,Xetra,KBX.DE,Knorr-Bremse AG,vérifié
FRES,London Stock Exchange,FRES.L,Fresnillo plc,vérifié
LIFCO B,Nasdaq Omx Nordic,LIFCO-B.ST,Lifco AB (publ),vérifié
DCC,London Stock Exchange,DCC.L,DCC Energy plc,vérifié
STJ,London Stock Exchange,STJ.L,St. James's Place plc,vérifié
KCR,Nasdaq Omx Helsinki Ltd.,KCR.HE,Konecranes Plc,vérifié
ALSYDB,Omx Nordic Exchange Copenhagen A/S,ALSYDB.CO,AL Sydbank A/S,vérifié
TRYG,Omx Nordic Exchange Copenhagen A/S,TRYG.CO,Tryg A/S,vérifié
SCA B,Nasdaq Omx Nordic,SCA-B.ST,Svenska Cellulosa Aktiebolaget SCA (publ),vérifié
ORK,Oslo Bors Asa,ORK.OL,Orkla ASA,vérifié
ABF,London Stock Exchange,ABF.L,Associated British Foods plc,vérifié
ELI,Nyse Euronext - Euronext Brussels,ELI.BR,Elia Group SA/NV,vérifié
KGF,London Stock Exchange,KGF.L,Kingfisher plc,vérifié
LPP,Warsaw Stock Exchange/Equities/Main Market,LPP.WA,LPP SA,vérifié
ICG,London Stock Exchange,ICG.L,ICG plc,vérifié
IDR,Bolsa De Madrid,IDR.MC,"Indra Sistemas, S.A.",vérifié
RILBA,Omx Nordic Exchange Copenhagen A/S,RILBA.CO,Ringkjøbing Landbobank A/S,vérifié
STERV,Nasdaq Omx Helsinki Ltd.,STERV.HE,Stora Enso Oyj,vérifié
ACKB,Nyse Euronext - Euronext Brussels,ACKB.BR,Ackermans & Van Haaren NV,vérifié
AED,Nyse Euronext - Euronext Brussels,AED.BR,Aedifica NV/SA,vérifié
KESKOB,Nasdaq Omx Helsinki Ltd.,KESKOB.HE,Kesko Oyj,vérifié
ABVX,Nyse Euronext - Euronext Paris,ABVX.PA,ABIVAX Société Anonyme,vérifié
