classe,actuel,libre,retenu,ecart_type,mu_bl,pi_equilibre
alternatives,0.06,0.03150757871293686,0.03332087922222307,0.029423567361420294,0.054120129749287045,0.013776619947743905
cash,0.05,0.09999999999999981,0.09999999999991381,7.651140242897582e-13,0.04050031340276527,1.518082197178322e-05
credit_ig_eur,0.08,0.15094702995622136,0.08306064443274143,0.09090268591639727,0.04355014334955387,0.005058075690737727
crypto,0.02,3.550268889558246e-18,0.02000000000000002,1.0408340855860843e-17,-0.0009099561739000089,0.039760827078330244
equity_developed,0.3,0.07067704943789122,0.2631660470871724,0.017762254919785163,0.07650267505331738,0.014873803994856622
equity_emerging,0.08,0.208806304428422,0.11986578062386552,0.0011929679096540293,0.08771899671023639,0.016247963896708576
gold,0.09,0.00816073627104213,0.06289039531803436,0.011591518951651355,0.04513575668687918,0.013071858052704017
govt_bonds_eur,0.1,1.214854958126418e-17,0.08000000000000008,4.1051049941978724e-17,0.03644559640229714,0.0055295747131907155
govt_bonds_eur_short,0.05,1.481459985061431e-17,8.610971573783577e-14,7.651116863264887e-13,0.04058319619141385,0.0013220769226355074
inflation_linked,0.1,0.1520733906769434,0.13769625331596333,0.1017515204112821,0.04497684399850167,0.006386686177468618
infrastructure,0.07,0.27782791051654326,0.09999999999999988,1.6586714338762715e-16,0.07590505068679873,0.012391504249714887
