actions,vol,dd_p90_hist,dd_worst_hist,dd_p90_boot,ratio_hist,ratio_boot,ratio_worst
0.2,0.07173486071960422,0.1294816958145486,0.15874763307709217,0.10932956802959791,1.8050037947472157,1.5240786269446194,2.2129775047253766
0.3,0.08245913023354416,0.144458870735249,0.18857780531984614,0.11488291441168771,1.7518844829687943,1.3932103587111768,2.286924501698578
0.4,0.0958568750701354,0.15640177509188202,0.2328614980520528,0.1343522487812889,1.6316177110660852,1.401592203824584,2.429262354752077
0.5,0.11096390070864424,0.16295384546515385,0.28023407588436167,0.1434498541410805,1.4685302555559812,1.2927614586813596,2.5254526390539103
0.55,0.11895793815550428,0.16589325762951912,0.30325425116457805,0.1625827939543771,1.3945539087325136,1.3667250498394274,2.5492561141078105
0.6,0.12717251450557837,0.16771734736064103,0.32582346306026033,0.17112582328455886,1.3188175763661902,1.3456195621346505,2.5620588247940024
0.7,0.14411149868692846,0.18250967448787625,0.3696856328315581,0.19606252070027225,1.2664476891213585,1.3604918586420611,2.5652750557724247
0.8,0.16155127385706683,0.21422344151214334,0.4119809851374019,0.21547346284875596,1.32603994012253,1.3337775537405976,2.5501562154310453
